AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
18.69,0,0.67,0,0,0.28,18,13,0.9572,0.965,0.9086,0,0.7,0,0.756666667,0.7,0.9,0.67,0.756666667,0.756666667,1,1,1,1,0,0
18.84,1,0.8,1,1,1,17,13,0.984,0.976,0.908,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,0
18.46,1,0.8,0.9,0.9,0.95,17,16,0.946,0.967,0.907,0,0.9,0,0.77,0.87,0.9,0.84,0.9,0.9,1,1,1,1,0,0
19.35,0.8,0.5,1,0.91,0.85,18,13,0.9413,0.965,0.907,0,0.9,0,0.87,0.9,0.9,0.9,0.6,0.9,1,1,1,0,0,1
18.69,0.6,0.2,0.5,0.53,0.68,17,13,0.915,0.907,0.907,0,0.6,0,0.7,0.7,0.64,0.77,0.6,0.7,1,1,1,1,0,1
17.96,0.75,0.87,0.76,0.78,0.7,16,15,0.963,0.952,0.904,0,0.9,0,0.84,0.87,0.9,0.87,0.87,0.87,0,1,1,1,0,1
18.4,0.9,1,1,0.95,0.86,18,13,0.948,0.9,0.9,0,0.9,0,0.77,0.6,0.84,0.9,0.77,0.84,1,1,1,1,0,1
18.94,0.8,0.73,1,0.65,0.72,17,13,0.9,0.83,0.9,0,0.77,0,0.74,0.87,0.6,0.84,0.6,0.77,1,1,1,0,0,1
21.44,0.73,0.6,0,0.6,0.59,17,16,0.962,0.952,0.897,2,0.74,0,0.7,0.67,0.8,0.8,0.7,0.77,1,1,1,1,0,0
20.09,0.8,0.8,0.95,0.75,0.87,18,15,0.927,0.922,0.896,0,0.84,0,0.8,0.905,0.99,0.9,0.93,0.905,0,1,1,1,0,1
24.5,0.73,0.6,0.7,0.83,0.81,17,18,0.842,0.909,0.894,0,0.9,0,0.8,0.838,0.85,0.9,0.74,0.9,0,1,1,1,0,1
19.25,0.69,0.93,0.96,0.98,0.96,18,13,0.937,0.878,0.893,0,0.9,0,0.84,0.87,0.9,0.9,0.9,0.87,1,1,1,1,0,0
19.41,0,0.9,1,0.9,0.82,19,10,0.8469,0.838,0.8921,0,0.84,0,0.74,0.87,0.9,0.7775,0.6,0.7775,1,1,1,1,0,0
23.91,0.87,0.4,0.75,0.73,0.78,17,18,0.9,0.906,0.891,0,0.77,0,0.77,0.7,0.63,0.7,0.7,0.7,0,1,1,1,0,1
21.91,0.8,0.2,0.5,0.5,0.69,18,15,0.952,0.998,0.89,0,0.6,0,0.8,0.79,0.77,0.8,0.79,0.79,0,1,1,1,1,1
19.59,0.7,0.17,0.8325,0.8,0.8,17,13,0.88,0.87,0.89,0,0.67,0,0.9,0.8,0.7,0.84,0.65,0.74,1,1,1,1,0,1
21.87,0.77,0.75,1,0.75,0.76,19,10,0.873,0.86,0.89,0,0.87,0,0.8,0.9,0.74,0.74,0.6,0.84,1,1,1,0,0,1
19.96,0.85,0.17,0.95,0.75,0.84,17,16,0.921,0.926,0.887,0,0.8,0,0.87,0.77,0.64,0.87,0.77,0.6,1,1,1,0,0,1
19.45,0.85,1,1,1,0.92,18,16,0.8724,0.687,0.886,0,0.87,0,0.6,0.9,0.9,0.9,0.87,0.834,1,1,1,1,0,1
19.78,0.4,0.6,0.95,0.65,0.77,18,13,0.918,0.925,0.885,0,0.74,0,0.77,0.77,0.9,0.9,0.77,0.77,1,1,1,0,1,1
17.5,1,1,1,0.53,0.78,17,13,0.8991,0.839,0.8832,0,0.67,0,0.84,0.8,0.8,0.87,0.7,0.9,1,1,1,1,0,1
22.8,0.57,0.8,0.95,0.83,0.78,18,11,0.881,0.919,0.883,0,0.84,0,0.75,0.716,0.67,0.67,0.65,0.84,0,1,0,0,1,1
19.13,0.67,0.87,0.75,0.7,0.68,18,13,0.944,0.906,0.882,0,0.8,0,0.74,0.7,0.9,0.9,0.77,0.87,1,1,1,1,0,0
19.69,0.69,0.75,0.6,0.75,0.72,18,13,0.899,0.83,0.88,0,0.87,0,0.8,0.9,0.6,0.87,0.6,0.84,1,1,1,1,0,1
18.39,0.93,0.87,0.75,0.9,0.87,17,13,0.905,0.77,0.88,0,0.67,0,0.9,0.9,0.9,0.8,0.9,0.77,1,1,0,0,0,0
21.23,0.33,0.75,1,0.57,0.54,18,10,0.847,0.73,0.88,0,0.74,2,0.84,0.7,0.67,0.64,0.6,0.8,1,1,1,0,0,1
18.21,1,0.85,1,0.63,0.7,17,13,0.9346,0.909,0.879,0,0.7,0,0.87,0.9,0.7,0.77,0.77,0.802,1,1,1,1,0,0
19.11,0.93,0.67,1,0.75,0.79,18,13,0.963,0.985,0.877,0,0.77,0,0.84,0.9,0.9,0.9,0.84,0.9,1,1,1,0,0,0
